Batch,Chip,Date,SN
11789230,WJ126,2017-03-22 00:43:00,CFBB215
7521280,EL213,2017-03-22 00:33:00,CFB9763
11500290,DH156,2017-03-22 00:13:00,CFB9738
12239200,WF077,2017-03-22 00:19:00,CFB9492
12162210,HJ123,2017-08-01 18:53:00,CFB6654
12581210,UH072,2017-03-22 00:17:00,CFB5822
12183200,MJ113,2017-03-22 00:11:00,CFB5743
12921220,LJ144,2017-08-02 16:02:00,BFC6212
12921220,LJ137,2017-03-22 01:53:00,BFC6208
12921220,LJ131,2017-03-22 01:02:00,BFC6206
12921220,WH130,2017-03-22 01:09:00,BFC6198
12921220,KH133,2017-03-22 01:17:00,BFC6197
12929220,SF153,2017-03-22 01:21:00,BFC6180
11111520,CO100,2017-03-22 00:49:00,BFC5437
11806530,KJ102,2017-03-22 00:40:00,BFC5417
10982220,FA218,2017-03-22 02:40:00,BFC5354
10982220,FI209,2017-03-22 02:36:00,BFC5352
12919220,YF128,2017-03-21 16:40:00,BFC5346
10661220,JK126,2017-03-22 00:36:00,BFC5332
7818220,CI110,2017-03-21 16:46:00,BFC5330
6051220,DH106,2017-03-22 02:16:00,BFC5309
6051220,DL091,2017-03-22 02:06:00,BFC5308
11264220,EB113,2017-03-22 02:12:00,BFC5292
11264220,EB116,2017-03-21 16:54:00,BFC5290
11264220,EA126,2017-03-22 01:13:00,BFC5273
9033220,DE236,2017-03-22 02:47:00,BFC5268
5836220,CO122,2017-03-22 02:47:00,BFC5265
8765220,DC224,2017-03-22 02:44:00,BFC5261
8765220,DB225,2017-03-22 02:38:00,BFC5258
12921220,LJ130,2017-03-22 01:48:00,BFC5241
12921220,KF125,2017-03-22 01:01:00,BFC5238
12921220,MF133,2017-03-22 01:50:00,BFC5234
9332220,DO084,2017-03-22 01:26:00,BFC5223
12979220,TH176,2017-03-22 02:41:00,BFC5206
12979220,TH174,2017-03-21 17:00:00,BFC5205
11232220,CM183,2017-03-22 00:33:00,BFC5202
10982220,EJ224,2017-03-22 02:43:00,BFC5198
12864220,UH126,2017-03-21 16:57:00,BFC5192
11541260,EL145,2017-03-22 00:14:00,BFC4764
12247260,UF095,2017-03-22 00:57:00,BFC4741
12247260,NE081,2017-03-22 00:59:00,BFC4734
12247260,NE085,2017-03-21 23:48:00,BFC4731
12247260,XF080,2017-03-22 00:56:00,BFC4728
12451260,HJ080,2017-03-21 23:58:00,BFC4723
12361260,JK148,2017-03-21 17:58:00,BFC4704
12361260,MH177,2017-03-21 17:52:00,BFC4698
12361260,TH172,2017-03-21 23:45:00,BFC4695
12361260,JK137,2017-03-21 23:40:00,BFC4694
12361260,EK099,2017-03-22 00:08:00,BFC4691
12361260,YJ079,2017-03-21 23:51:00,BFC4690
12361260,YJ076,2017-03-21 17:06:00,BFC4689
12361260,YJ105,2017-03-21 17:56:00,BFC4687
12361260,MH175,2017-03-21 23:28:00,BFC4686
12361260,XJ073,2017-03-22 00:06:00,BFC4683
12361260,JK152,2017-03-21 17:08:00,BFC4681
12721260,NJ105,2017-03-22 00:06:00,BFC4676
12361260,XF152,2017-03-21 17:04:00,BFC4675
12361260,XJ112,2017-03-21 17:02:00,BFC4673
12361260,XJ100,2017-03-21 17:54:00,BFC4671
12721260,SJ096,2017-03-21 17:12:00,BFC4669
12721260,XH096,2017-03-22 02:19:00,BFC4665
12721260,NJ107,2017-03-22 02:21:00,BFC4659
12721260,NJ096,2017-03-22 00:37:00,BFC4658
12721260,TH090,2017-03-22 02:36:00,BFC4657
12864220,YH167,2017-03-22 01:45:00,BFC4643
12864220,YH177,2017-03-21 16:44:00,BFC4641
8765220,DJ215,2017-03-21 16:38:00,BFC4633
8800220,FM224,2017-03-22 01:39:00,BFC4621
8800220,DF211,2017-03-22 01:57:00,BFC4615
8800220,CM228,2017-03-21 17:15:00,BFC4611
10655220,YH135,2017-03-22 01:05:00,BFC4607
10655220,YH130,2017-03-22 01:18:00,BFC4606
10655220,YH138,2017-03-22 01:08:00,BFC4605
11360220,SF065,2017-03-22 01:38:00,BFC4594
11360220,TF075,2017-03-22 01:34:00,BFC4591
11360220,UE114,2017-03-22 01:30:00,BFC4589
11360220,CF088,2017-03-22 01:41:00,BFC4587
11352220,FF160,2017-03-22 02:21:00,BFC4572
11352220,HF154,2017-03-22 02:08:00,BFC4571
10260210,GB105,2017-03-22 02:01:00,BFC4566
12931220,MF181,2017-03-22 02:04:00,BFC4551
12921220,HH135,2017-03-22 02:24:00,BFC4543
9025210,FB094,2017-03-21 16:31:00,BFC3628
12700210,UE150,2017-03-21 16:34:00,BFC3627
12645210,HK099,2017-03-21 16:29:00,BFC3624
